DATE,GROUPE,CODE,COMPANY,OPEN,CLOSE,LOW,HIGH,VOLUME,NB_TRANSACTION,CAPITAUX,IND_RES,SOURCE_FILE,COURS_REF,COURS_VEILLE,DERNIER_COURS,I,LOG_RETURN,ROLLING_VOL,VOLUME_CHANGE,ROLLING_MEAN,ROLLING_MEDIAN,ROLLING_STD,CLOSE_LAG_1,OPEN_LAG_1,HIGH_LAG_1,LOW_LAG_1,VOLUME_LAG_1,CLOSE_LAG_2,OPEN_LAG_2,HIGH_LAG_2,LOW_LAG_2,VOLUME_LAG_2,CLOSE_LAG_3,OPEN_LAG_3,HIGH_LAG_3,LOW_LAG_3,VOLUME_LAG_3,CLOSE_LAG_4,OPEN_LAG_4,HIGH_LAG_4,LOW_LAG_4,VOLUME_LAG_4,CLOSE_LAG_5,OPEN_LAG_5,HIGH_LAG_5,LOW_LAG_5,VOLUME_LAG_5,TARGET_NEXT_CLOSE
2016-01-04,11,160015,ATTIJARI BANK,24.19,24.22,24.15,24.3,6115.0,23,148030.95,,histo_cotation_2016.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9
2016-01-05,11,160015,ATTIJARI BANK,24.22,24.9,24.22,24.9,6889.0,53,168981.19,,histo_cotation_2016.txt,,,,,0.027689065345715646,,0.12657399836467698,,,,24.22,24.19,24.3,24.15,6115.0,,,,,,,,,,,,,,,,,,,,,25.46
2016-01-06,11,160015,ATTIJARI BANK,24.9,25.46,24.9,25.6,28593.0,92,726269.75,,histo_cotation_2016.txt,,,,,0.02224078965859863,,3.1505298301640297,,,,24.9,24.22,24.9,24.22,6889.0,24.22,24.19,24.3,24.15,6115.0,,,,,,,,,,,,,,,,25.46
2016-01-07,11,160015,ATTIJARI BANK,25.46,25.46,25.46,25.9,19225.0,70,491918.46,,histo_cotation_2016.txt,,,,,0.0,,-0.3276326373587941,,,,25.46,24.9,25.6,24.9,28593.0,24.9,24.22,24.9,24.22,6889.0,24.22,24.19,24.3,24.15,6115.0,,,,,,,,,,,25.5
2016-01-08,11,160015,ATTIJARI BANK,25.4,25.5,25.4,25.7,8760.0,61,223454.93,,histo_cotation_2016.txt,,,,,0.0015698590351200523,,-0.5443433029908973,25.107999999999997,25.46,0.5552657021642897,25.46,25.46,25.9,25.46,19225.0,25.46,24.9,25.6,24.9,28593.0,24.9,24.22,24.9,24.22,6889.0,24.22,24.19,24.3,24.15,6115.0,,,,,,25.6
2016-01-11,11,160015,ATTIJARI BANK,25.5,25.6,25.35,25.7,20160.0,86,513400.32,,histo_cotation_2016.txt,,,,,0.003913899321136315,,1.3013698630136985,25.384,25.46,0.27655017627910244,25.5,25.4,25.7,25.4,8760.0,25.46,25.46,25.9,25.46,19225.0,25.46,24.9,25.6,24.9,28593.0,24.9,24.22,24.9,24.22,6889.0,24.22,24.19,24.3,24.15,6115.0,25.9
2016-01-12,11,160015,ATTIJARI BANK,25.6,25.9,25.5,26.0,9749.0,69,250554.83,,histo_cotation_2016.txt,,,,,0.011650617219975054,,-0.5164186507936508,25.584000000000003,25.5,0.1856879102149656,25.6,25.5,25.7,25.35,20160.0,25.5,25.4,25.7,25.4,8760.0,25.46,25.46,25.9,25.46,19225.0,25.46,24.9,25.6,24.9,28593.0,24.9,24.22,24.9,24.22,6889.0,25.8
2016-01-13,11,160015,ATTIJARI BANK,25.9,25.8,25.8,25.9,3156.0,46,81607.8,,histo_cotation_2016.txt,,,,,-0.003868476777920206,,-0.6762744896912504,25.651999999999997,25.6,0.19110206696946255,25.9,25.6,26.0,25.5,9749.0,25.6,25.5,25.7,25.35,20160.0,25.5,25.4,25.7,25.4,8760.0,25.46,25.46,25.9,25.46,19225.0,25.46,24.9,25.6,24.9,28593.0,25.7
2016-01-15,11,160015,ATTIJARI BANK,25.9,25.7,25.65,25.9,12925.0,54,333352.73,,histo_cotation_2016.txt,,,,,-0.003883500026397633,,3.095373891001268,25.7,25.7,0.15811388300842164,25.8,25.9,25.9,25.8,3156.0,25.9,25.6,26.0,25.5,9749.0,25.6,25.5,25.7,25.35,20160.0,25.5,25.4,25.7,25.4,8760.0,25.46,25.46,25.9,25.46,19225.0,25.8
2016-01-18,11,160015,ATTIJARI BANK,25.7,25.8,25.5,25.8,969.0,20,24881.52,,histo_cotation_2016.txt,,,,,0.003883500026397612,,-0.9250290135396518,25.759999999999998,25.8,0.11401754250991576,25.7,25.9,25.9,25.65,12925.0,25.8,25.9,25.9,25.8,3156.0,25.9,25.6,26.0,25.5,9749.0,25.6,25.5,25.7,25.35,20160.0,25.5,25.4,25.7,25.4,8760.0,25.83
2016-01-19,11,160015,ATTIJARI BANK,25.79,25.83,25.5,25.83,6917.0,41,178154.22,,histo_cotation_2016.txt,,,,,0.0011621151801772967,0.010786525804768672,6.1382868937048505,25.806,25.8,0.07197221686178934,25.8,25.7,25.8,25.5,969.0,25.7,25.9,25.9,25.65,12925.0,25.8,25.9,25.9,25.8,3156.0,25.9,25.6,26.0,25.5,9749.0,25.6,25.5,25.7,25.35,20160.0,25.9
2016-01-20,11,160015,ATTIJARI BANK,25.8,25.9,25.8,26.0,16448.0,89,426773.35,,histo_cotation_2016.txt,,,,,0.0027063615977428457,0.007795550512130726,1.3779094983374294,25.806,25.8,0.07197221686178934,25.83,25.79,25.83,25.5,6917.0,25.8,25.7,25.8,25.5,969.0,25.7,25.9,25.9,25.65,12925.0,25.8,25.9,25.9,25.8,3156.0,25.9,25.6,26.0,25.5,9749.0,25.8
2016-01-21,11,160015,ATTIJARI BANK,25.85,25.8,25.5,25.9,7072.0,94,182240.49,,histo_cotation_2016.txt,,,,,-0.003868476777920206,0.004768994940262313,-0.5700389105058365,25.806,25.8,0.07197221686178934,25.9,25.8,26.0,25.8,16448.0,25.83,25.79,25.83,25.5,6917.0,25.8,25.7,25.8,25.5,969.0,25.7,25.9,25.9,25.65,12925.0,25.8,25.9,25.9,25.8,3156.0,25.4
