DATE,GROUPE,CODE,COMPANY,OPEN,CLOSE,LOW,HIGH,VOLUME,NB_TRANSACTION,CAPITAUX,IND_RES,SOURCE_FILE,COURS_REF,COURS_VEILLE,DERNIER_COURS,I
2016-01-04,11,160015,ATTIJARI BANK,24.19,24.22,24.15,24.3,6115.0,23,148030.95,,histo_cotation_2016.txt,,,,
2016-01-05,11,160015,ATTIJARI BANK,24.22,24.9,24.22,24.9,6889.0,53,168981.19,,histo_cotation_2016.txt,,,,
2016-01-06,11,160015,ATTIJARI BANK,24.9,25.46,24.9,25.6,28593.0,92,726269.75,,histo_cotation_2016.txt,,,,
2016-01-07,11,160015,ATTIJARI BANK,25.46,25.46,25.46,25.9,19225.0,70,491918.46,,histo_cotation_2016.txt,,,,
2016-01-08,11,160015,ATTIJARI BANK,25.4,25.5,25.4,25.7,8760.0,61,223454.93,,histo_cotation_2016.txt,,,,
2016-01-11,11,160015,ATTIJARI BANK,25.5,25.6,25.35,25.7,20160.0,86,513400.32,,histo_cotation_2016.txt,,,,
2016-01-12,11,160015,ATTIJARI BANK,25.6,25.9,25.5,26.0,9749.0,69,250554.83,,histo_cotation_2016.txt,,,,
2016-01-13,11,160015,ATTIJARI BANK,25.9,25.8,25.8,25.9,3156.0,46,81607.8,,histo_cotation_2016.txt,,,,
2016-01-15,11,160015,ATTIJARI BANK,25.9,25.7,25.65,25.9,12925.0,54,333352.73,,histo_cotation_2016.txt,,,,
2016-01-18,11,160015,ATTIJARI BANK,25.7,25.8,25.5,25.8,969.0,20,24881.52,,histo_cotation_2016.txt,,,,
2016-01-19,11,160015,ATTIJARI BANK,25.79,25.83,25.5,25.83,6917.0,41,178154.22,,histo_cotation_2016.txt,,,,
2016-01-20,11,160015,ATTIJARI BANK,25.8,25.9,25.8,26.0,16448.0,89,426773.35,,histo_cotation_2016.txt,,,,
2016-01-21,11,160015,ATTIJARI BANK,25.85,25.8,25.5,25.9,7072.0,94,182240.49,,histo_cotation_2016.txt,,,,
2016-01-22,11,160015,ATTIJARI BANK,25.77,25.4,25.0,25.77,14070.0,97,359372.99,,histo_cotation_2016.txt,,,,
2016-01-25,11,160015,ATTIJARI BANK,24.82,25.56,24.82,25.56,8138.0,68,207310.27,,histo_cotation_2016.txt,,,,
2016-01-26,11,160015,ATTIJARI BANK,25.57,25.8,25.57,25.87,4253.0,43,109274.15,,histo_cotation_2016.txt,,,,
2016-01-27,11,160015,ATTIJARI BANK,25.8,26.5,25.8,26.57,40255.0,188,65320.77,,histo_cotation_2016.txt,,,,
2016-01-28,11,160015,ATTIJARI BANK,26.51,26.48,26.01,26.7,15016.0,63,397021.48,,histo_cotation_2016.txt,,,,
2016-01-29,11,160015,ATTIJARI BANK,26.5,26.55,26.5,26.6,19465.0,92,516069.45,,histo_cotation_2016.txt,,,,
2016-02-01,11,160015,ATTIJARI BANK,26.56,27.35,26.56,27.35,24853.0,104,671539.28,,histo_cotation_2016.txt,,,,
2016-02-02,11,160015,ATTIJARI BANK,27.5,27.4,27.34,27.5,14087.0,76,385971.11,,histo_cotation_2016.txt,,,,
2016-02-03,11,160015,ATTIJARI BANK,27.4,27.35,27.34,27.4,4586.0,30,125520.4,,histo_cotation_2016.txt,,,,
2016-02-04,11,160015,ATTIJARI BANK,27.14,26.62,26.56,27.14,10056.0,67,270132.64,,histo_cotation_2016.txt,,,,
2016-02-05,11,160015,ATTIJARI BANK,26.9,27.0,26.8,27.1,1695.0,30,45723.1,,histo_cotation_2016.txt,,,,
2016-02-08,11,160015,ATTIJARI BANK,26.85,26.65,26.54,26.85,9750.0,57,260210.31,,histo_cotation_2016.txt,,,,
2016-02-09,11,160015,ATTIJARI BANK,27.3,27.0,26.76,27.3,9791.0,44,265305.16,,histo_cotation_2016.txt,,,,
2016-02-10,11,160015,ATTIJARI BANK,26.65,26.3,26.3,27.0,31128.0,90,837380.53,,histo_cotation_2016.txt,,,,
2016-02-11,11,160015,ATTIJARI BANK,26.79,26.59,26.1,26.79,2388.0,26,63754.04,,histo_cotation_2016.txt,,,,
2016-02-12,11,160015,ATTIJARI BANK,26.6,26.4,26.0,26.6,6267.0,37,164102.17,,histo_cotation_2016.txt,,,,
2016-02-15,11,160015,ATTIJARI BANK,26.09,26.68,26.09,26.68,8268.0,48,218777.65,,histo_cotation_2016.txt,,,,
2016-02-16,11,160015,ATTIJARI BANK,26.7,26.69,26.12,26.78,3234.0,29,86293.9,,histo_cotation_2016.txt,,,,
2016-02-17,11,160015,ATTIJARI BANK,26.68,27.0,26.66,27.0,24806.0,93,666094.83,,histo_cotation_2016.txt,,,,
2016-02-18,11,160015,ATTIJARI BANK,27.0,27.3,26.91,27.37,14231.0,64,385834.24,,histo_cotation_2016.txt,,,,
2016-02-19,11,160015,ATTIJARI BANK,27.15,27.0,26.91,27.3,5653.0,32,152690.12,,histo_cotation_2016.txt,,,,
2016-02-22,11,160015,ATTIJARI BANK,27.0,26.75,26.7,27.19,9145.0,70,246781.8,,histo_cotation_2016.txt,,,,
2016-02-23,11,160015,ATTIJARI BANK,27.0,26.74,26.6,27.0,5259.0,32,140545.55,,histo_cotation_2016.txt,,,,
2016-02-24,11,160015,ATTIJARI BANK,26.74,26.47,26.47,26.95,318.0,5,8468.61,,histo_cotation_2016.txt,,,,
2016-02-25,11,160015,ATTIJARI BANK,26.45,26.5,26.21,26.5,1198.0,14,31587.9,,histo_cotation_2016.txt,,,,
2016-02-26,11,160015,ATTIJARI BANK,26.6,26.6,26.6,26.6,759.0,8,20189.4,,histo_cotation_2016.txt,,,,
2016-02-29,11,160015,ATTIJARI BANK,27.0,26.45,26.45,27.0,4192.0,30,111242.22,,histo_cotation_2016.txt,,,,
2016-03-01,11,160015,ATTIJARI BANK,26.45,27.0,26.45,27.24,15082.0,70,406922.82,,histo_cotation_2016.txt,,,,
2016-03-02,11,160015,ATTIJARI BANK,27.29,27.5,27.02,27.5,20241.0,109,553192.03,,histo_cotation_2016.txt,,,,
2016-03-03,11,160015,ATTIJARI BANK,27.55,27.8,27.55,27.99,22757.0,91,633171.55,,histo_cotation_2016.txt,,,,
